🧨凯少爷4K直播,#genre#🧨
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$移动|回看
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8$移动|回看
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8$移动|回看
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8$移动|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8$移动|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8$移动|回看
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8$移动|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8$移动|回看
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8$移动|回看
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8$移动|回看
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8$移动|回看
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8$移动|回看
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$移动高清|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8$移动高清|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8$移动高清|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8$移动高清|回看

CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8$天津联通酒店
CCTV2,http://60.29.124.66:6080/hls/13/index.m3u8$天津联通酒店
CCTV3,http://60.29.124.66:6080/hls/14/index.m3u8$天津联通酒店
CCTV4,http://60.29.124.66:6080/hls/15/index.m3u8$天津联通酒店
CCTV5,http://60.29.124.66:6080/hls/16/index.m3u8$天津联通酒店
CCTV6,http://60.29.124.66:6080/hls/17/index.m3u8$天津联通酒店
CCTV7,http://60.29.124.66:6080/hls/18/index.m3u8$天津联通酒店
CCTV8,http://60.29.124.66:6080/hls/19/index.m3u8$天津联通酒店
CCTV9,http://60.29.124.66:6080/hls/20/index.m3u8$天津联通酒店
CCTV10,http://60.29.124.66:6080/hls/21/index.m3u8$天津联通酒店
CCTV11,http://60.29.124.66:6080/hls/22/index.m3u8$天津联通酒店
CCTV13,http://60.29.124.66:6080/hls/23/index.m3u8$天津联通酒店
CCTV14,http://60.29.124.66:6080/hls/25/index.m3u8$天津联通酒店
CCTV15,http://60.29.124.66:6080/hls/26/index.m3u8$天津联通酒店

//中国教育电视台

CETV1,http://39.134.67.108/PLTV/88888888/224/3221225563/1.m3u8$移动|回看
CETV4,http://39.134.67.108/PLTV/88888888/224/3221225750/1.m3u8$移动|回看


卫视频道,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,http://106.53.99.30/dl/jstv.php?id=jsws
山东卫视,http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8#http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8 
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8 

兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8#https://test5.btzx.com.cn/live/2023bt.stream/playlist.m3u8
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=f1b16a3a3866dafecb94ec2bb4160e58
河北卫视,http://hls.hsrtv.cn/live/hbws.m3u8
甘肃卫视,https://hlss.gstv.com.cn/49048r/6e1sy2.m3u8
云南卫视,http://hwzbout.yntv.net/62hdvf/41hse3.flv
山东卫视,http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
宁夏卫视,http://stream.nxtv.com.cn/wspd/sd/live.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
藏语卫视,http://php.jdshipin.com:8880/xztv.php?id=zy

安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225923/1.m3u8$移动|回看
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8$移动高清|回看
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225927/1.m3u8$移动|回看
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8$移动高清|回看
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8$移动高清|回看
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225960/1.m3u8$移动|回看
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8$移动高清|回看
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225962/1.m3u8$移动|回看
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8$移动高清|回看
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8$移动高清|回看
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8$移动高清|回看
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225991/1.m3u8$移动|回看
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8$移动高清|回看
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225929/1.m3u8$移动|回看
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8$移动高清|回看
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8$移动高清|回看
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225995/1.m3u8$移动|回看
辽宁卫视,http://39.134.67.108/PLTV/88888888/224/3221225944/1.m3u8$移动|回看
青海卫视,http://39.134.67.108/PLTV/88888888/224/3221225948/1.m3u8$移动|回看
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8$移动高清|回看
陕西卫视,http://39.134.67.108/PLTV/88888888/224/3221225989/1.m3u8$移动|回看
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8$移动高清|回看
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225997/1.m3u8$移动|回看
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8$移动高清|回看
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8$移动高清|回看
西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8$移动|回看
新疆卫视,http://39.134.67.108/PLTV/88888888/224/3221225999/1.m3u8$移动|回看
云南卫视,http://39.134.67.108/PLTV/88888888/224/3221225957/1.m3u8$移动|回看
浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8$移动高清|回看
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8$移动高清|回看
兵团卫视,http://39.134.67.108/PLTV/88888888/224/3221226005/1.m3u8$移动|回看
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221226038/1.m3u8$移动|回看
广西卫视,http://39.134.67.108/PLTV/88888888/224/3221226024/1.m3u8$移动|回看
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221226030/1.m3u8$移动|回看
海南卫视,http://39.134.67.108/PLTV/88888888/224/3221226026/1.m3u8$移动|回看
河南卫视,http://39.134.67.108/PLTV/88888888/224/3221226023/1.m3u8$移动|回看
黑龙江卫视,http://39.134.67.108/PLTV/88888888/224/3221226006/1.m3u8$移动|回看
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221226015/1.m3u8$移动|回看
湖南卫视,http://39.134.67.108/PLTV/88888888/224/3221226000/1.m3u8$移动|回看
吉林卫视,http://39.134.67.108/PLTV/88888888/224/3221226013/1.m3u8$移动|回看
内蒙古卫视,http://39.134.67.108/PLTV/88888888/224/3221226017/1.m3u8$移动|回看
宁夏卫视,http://39.134.67.108/PLTV/88888888/224/3221226028/1.m3u8$移动|回看
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221226034/1.m3u8$移动|回看
山西卫视,http://39.134.67.108/PLTV/88888888/224/3221226009/1.m3u8$移动|回看
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221226014/1.m3u8$移动|回看
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221226003/1.m3u8$移动|回看
延边卫视,http://39.134.67.108/PLTV/88888888/224/3221226040/1.m3u8$移动|回看
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221226001/1.m3u8$移动|回看

北京卫视,http://60.223.224.176:8888/newlive/live/hls/18/live.m3u8
东方卫视,http://60.223.224.176:8888/newlive/live/hls/19/live.m3u8
广东卫视,http://60.223.224.176:8888/newlive/live/hls/20/live.m3u8
江苏卫视,http://60.223.224.176:8888/newlive/live/hls/21/live.m3u8
湖南卫视,http://60.223.224.176:8888/newlive/live/hls/22/live.m3u8
浙江卫视,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8
河南卫视,http://60.223.224.176:8888/newlive/live/hls/32/live.m3u8
湖北卫视,http://60.223.224.176:8888/newlive/live/hls/33/live.m3u8

天津卫视,http://111.160.17.2:59901/tsfile/live/0001_21.m3u8$联通酒店
北京卫视,http://111.160.17.2:59901/tsfile/live/0001_28.m3u8$联通酒店
湖北卫视,http://111.160.17.2:59901/tsfile/live/0001_29.m3u8$联通酒店
卡酷,http://111.160.17.2:59901/tsfile/live/0001_30.m3u8$联通酒店
重庆卫视,http://111.160.17.2:59901/tsfile/live/0001_31.m3u8$联通酒店
安徽卫视,http://111.160.17.2:59901/tsfile/live/0001_32.m3u8$联通酒店
金鹰卡通,http://111.160.17.2:59901/tsfile/live/0001_33.m3u8$联通酒店
四川卫视,http://111.160.17.2:59901/tsfile/live/0001_34.m3u8$联通酒店
海南卫视,http://111.160.17.2:59901/tsfile/live/0001_35.m3u8$联通酒店
黑龙江卫视,http://111.160.17.2:59901/tsfile/live/0001_36.m3u8$联通酒店
吉林卫视,http://111.160.17.2:59901/tsfile/live/0001_37.m3u8$联通酒店
江苏卫视,http://111.160.17.2:59901/tsfile/live/0001_38.m3u8$联通酒店
河北卫视,http://111.160.17.2:59901/tsfile/live/0001_39.m3u8$联通酒店
浙江卫视,http://111.160.17.2:59901/tsfile/live/0001_40.m3u8$联通酒店
辽宁卫视,http://111.160.17.2:59901/tsfile/live/0001_41.m3u8$联通酒店
上海卫视,http://111.160.17.2:59901/tsfile/live/0001_42.m3u8$联通酒店
江西卫视,http://111.160.17.2:59901/tsfile/live/0001_43.m3u8$联通酒店
广西卫视,http://111.160.17.2:59901/tsfile/live/0001_44.m3u8$联通酒店
三沙卫视,http://111.160.17.2:59901/tsfile/live/0001_45.m3u8$联通酒店
贵州卫视,http://111.160.17.2:59901/tsfile/live/0001_46.m3u8$联通酒店
河南卫视,http://111.160.17.2:59901/tsfile/live/0001_47.m3u8$联通酒店
广东卫视,http://111.160.17.2:59901/tsfile/live/0001_48.m3u8$联通酒店
深圳卫视,http://111.160.17.2:59901/tsfile/live/0001_49.m3u8$联通酒店
湖南卫视,http://111.160.17.2:59901/tsfile/live/0001_50.m3u8$联通酒店

河南卫视,http://1.197.249.194:9901/tsfile/live/0139_1.m3u8$河南电信1080
浙江卫视,http://1.197.249.194:9901/tsfile/live/0124_1.m3u8$河南电信酒店
湖南卫视,http://1.197.249.194:9901/tsfile/live/0128_1.m3u8$河南电信酒店
东方卫视,http://1.197.249.194:9901/tsfile/live/0107_1.m3u8$河南电信酒店
江苏卫视,http://1.197.249.194:9901/tsfile/live/0127_1.m3u8$河南电信酒店
安徽卫视,http://1.197.249.194:9901/tsfile/live/0130_1.m3u8$河南电信酒店
北京卫视,http://1.197.249.194:9901/tsfile/live/0122_1.m3u8$河南电信酒店
深圳卫视,http://1.197.249.194:9901/tsfile/live/0126_1.m3u8$河南电信酒店
重庆卫视,http://1.197.249.194:9901/tsfile/live/0142_1.m3u8$河南电信酒店
山东卫视,http://1.197.249.194:9901/tsfile/live/0131_1.m3u8$河南电信酒店
贵州卫视,http://1.197.249.194:9901/tsfile/live/0120_1.m3u8$河南电信酒店
陕西卫视,http://1.197.249.194:9901/tsfile/live/0136_1.m3u8$河南电信酒店
广西卫视,http://1.197.249.194:9901/tsfile/live/0113_1.m3u8$河南电信酒店
云南卫视,http://1.197.249.194:9901/tsfile/live/0119_1.m3u8$河南电信酒店
四川卫视,http://1.197.249.194:9901/tsfile/live/0123_1.m3u8$河南电信酒店
湖北卫视,http://1.197.249.194:9901/tsfile/live/0132_1.m3u8$河南电信酒店
河北卫视,http://1.197.249.194:9901/tsfile/live/0117_1.m3u8$河南电信酒店
江西卫视,http://1.197.249.194:9901/tsfile/live/0138_1.m3u8$河南电信酒店
山西卫视,http://1.197.249.194:9901/tsfile/live/0118_1.m3u8$河南电信酒店
